Date,Number of Tankers Trips:,Expected Tanker Volume (m³) (20 m3),Direct In line Sewage (MB),Total Inlet Sewage Received from (MB+Tnk) -m³ ,Total Treated Water Produced - m³,Total TSE Water Production,Raw Sewage Inlet Flow (31.25 m3/hr),Aeration DO (2 -3 ppm),Raw Sewage pH (6.5 - 8.0)
20/1/2025,8,160,357,517,595,503,M - 32.6 0 N - 33.12  E - 33.10  ,Do meter not working ,M - 6.9  N - 6.9  E -  6.9  
21/1/2025,8,160,392,552,602,517,M - 33.12  N - 32.65  E - 32.50  ,Do meter not working ,M - 6.9  N - 6.9  E - 6.9  
22/1/2025,6,120,362,482,576,498,M - 32.60  N - 33..15  E - 32.60  ,Do meter not working ,M - 6.8  N - 6.8  E - 6.8  
23/1/2025,6,120,357,477,599,526,M - 33.20  N  - 33.25  E - 32.60  ,do meter not working ,M - 6.8  N - 6.8  E - 6.7  
24/1/2025,7,140,364,504,606,499,M - 33.25    N -  33.34  E -  33.12    ,Do meter not working ,M - 6.9  N - 6.9  E - 6.9  
25/1/2025,8,160,383,543,601,523,M - 32.60  N - 33.35  E - 33.22  ,Meter not working ,M - 6.8  N - 6.9  E  - 6.8  
26/1/2025,8,160,349,509,605,516,M - 33.65  N - 33.20  E - 33.15  ,Do meter not working ,M - 6.9  N - 6.9  E -  6.9  
27/1/2025,8,160,359,519,601,515,M - 33.25  N - 33.60  E - 33.32  ,Do meter not working ,M - 7.0  N -  7.0  E - 6.8  
28/1/2025,11,220,362,582,607,519,M- 33.15  N - 32.65  E - 33.60  ,DO meter  not working ,M - 6.8  N - 6.8  E -  6.8 
29/1/2025,9,180,341,521,615,529,M - 33.25  N - 32.90  E -  33.65  ,Do meter not working ,M - 6.8  N - 6.8  E - 6.8  
30/1/2025,9,180,339,519,598,510,M - 33.15  N - 33.34  E - 33.65  ,Do meter not working ,M - 6.8  N - 6.8  E - 6.8  
31/1/2025,7,140,373,513,619,526,M - 32.60  N -  33.65  E -  32.25  ,Do meter not working ,M - 6.8  N - 6.9  E - 6.9  
1/2/2025,8,160,351,511,527,456,M - 33.65  N - 32.60  E - 33.22  ,do meter not working ,M - 6.8  M - 6.8  E -  6.8  
2/2/2025,9,180,331,511,505,423,M - 33.25  N - 32.65  E - 32.34  ,do meter not working ,M - 6.9  N - 6.9  E - 6.9  
3/2/2025,8,160,336,496,584,489,M - 33.20 N - 33.34  E -  32.65 ,DO  meter not working ,M - 6.9  N - 6.9   E - 6.9 
4/2/2025,9,180,365,545,578,484,M - 33.20  N - 32.65  E - 33.24  ,Do meter not working ,M - 6.9  N -  6.9 E -   6.9  
5/2/2025,6,120,407,527,582,482,M - 32.60  N - 32.64 E - 33.34  ,  Do Meter not working ,M - 6.8  N - 6.8  E - 6.8  
6/2/2025,8,160,322,482,588,493,M - 33.24    N - 3320   E - 33.40               ,Do meter not working ,M - 6.8  N - 6. 8 E - 6.8 
7/2/2025,6,120,365,485,576,482,M - 33.24  N - 33.54  E -  32.60  ,Do meter not working ,M - 6.8  N - 6.9 E - 6.9 
8/2/2025,4,80,451,531,582,478,M - 33.25  N - 32.90  E - 31.65  ,Do meter not working ,M - 6.8  N - 6.8  E -  6.8  
9/2/2025,9,180,341,521,586,489,M - 32.60  N - 33.34  E  - 33.25 ,Do meter not working ,M - 6.8  N -  6.7  E - 6.7  
10/2/2025,6,120,394,514,594,495,M - 33.20  N  -  32.5 E -   33.26 ,Do meter not working ,M - 6.8  N - 6.8  E -  6.8  
11/2/2025,7,140,406,546,589,501,M - 33.25  N - 32.60  E- 33.34 ,Do meter not working ,M -6.8  N - 6.8  E - 6.7 
12/2/2025,5,100,428,528,614,527,M - 33.25  N - 32.60 E -  32.56  ,Do meter not working ,M - 6.8  N - 6.8 E - 6.7    
13/2/2025,4,80,423,503,620,525,M - 32.60  N - 33.25  E - 33.34 ,do meter not working ,M - 6.8  N - 6.8  E -  6.8 
14/2/2025,4,80,474,554,614,527,M - 33.20  N - 33.34 E -  32.64 ,Do meter not working ,M - 6.7  N - 6.7  E -  6.8  
15/2/2025,4,80,458,538,627,533,M - 33.34  N - 32.65  E - 32.64  ,do meter not working  ,M - 6.8  N - 6.9  E -  6.9  
16/2/2025,5,100,461,561,630,539,M - 33.25  N - 32.60  E -  33.34  ,DO meter no working ,M - 6.8 N - 6.8  E - 6.8  
17/2/2025,5,100,444,544,628,539,M - 6.7  N - 6.7  E - 6.7  ,do meter not working ,M - 6.8  N - 6.8  E - 6.8  
18/2/2025,5,100,417,517,609,520,M - 33.65 N - 32 .60  E -  33.52  ,DO meter not working   ,M - 6.8  N - 6.8  E - 6.8  
19/2/2025,4,80,459,539,582,489,M - 33.20  N - 33.25  E - 33.65  ,DO meter  no working ,M - 6.8  N - 6.8  E - 6.8   
20/2/2025,2,40,442,482,553,459,M - 33.34 N - 32.69  E - 32.55  ,Do meter no working ,M - 6.7  N - 6.7  E - 6.7 
21/2/2025,1,20,458,478,518,419,M - 33.34  N - 32.60  e - 33.25  ,Do meter not working ,M - 6.8  N - 6.8  E - 6.8  
24/2/2025,0,0,491,491,437,361,M - 33.20  N - 32.65  E - 33.50  ,Do meter no work ,M - 6.7  N - 6.7  E - 6.7  
25/2/2025,0,0,334,334,247,159,M - 33.20  N - 33.34  E - 33.60  ,Do meter not work ,M - 6.7  N - 6.7  E - 6.7  
26/2/2025,0,0,342,342,272,226,M - 33.20  N - 32.69  E - 32.60  ,Do meter  no work ,M - 6.7  N - 6.7  E - 6.7  
27/2/2025,0,0,502,502,595,512,M - 33.25  N  - 33.34  E - 34.10  ,DO meter not working ,M - 6.7  N - 6.7  E - 6.7  
28/2/2025,2,40,458,498,571,468,M - 32.69  N - 32.50  E - 33.34  ,DO meter no work ,M - 6.7 N - 6.8  E - 6.8  
1/3/2025,0,0,487,487,583,476,,,
2/3/2025,1,20,473,493,592,514,,,
3/3/2025,1,20,477,497,598,517,,,
4/3/2025,5,100,461,561,600,516,,,
5/3/2025,3,60,443,503,608,521,,,
6/3/2025,6,120,424,544,607,530,,,
7/3/2025,5,100,452,552,621,532,,,
8/3/2025,6,120,450,570,617,531,,,
9/3/2025,4,80,388,468,607,521,,,
10/3/2025,6,120,480,600,610,524,,,
11/3/2025,3,60,476,536,607,511,,,
12/3/2025,6,120,391,511,601,509,,,
13/3/2025,3,60,472,532,606,508,,,
14/3/2025,6,120,399,519,609,507,,,
15/3/2025,2,40,494,534,602,504,,,
16/3/2025,4,80,434,514,591,494,,,
17/3/2025,4,80,442,522,591,500,,,
18/3/2025,5,100,369,469,578,480,,,
19/3/2025,3,60,466,526,565,467,,,
20/3/2025,4,80,424,504,610,511,,,
21/3/2025,4,80,425,505,619,519,,,
22/3/2025,5,100,435,535,616,523,,,
23/3/2025,6,120,466,586,627,541,,,
24/3/2025,6,120,422,542,630,540,,,
25/3/2025,5,100,488,588,613,522,,,
26/3/2025,8,160,353,513,631,541,,,
27/3/2025,7,140,513,653,627,538,,,
28/3/2025,3,60,478,538,631,546,,,
29/3/2025,4,80,559,639,623,534,,,
30/3/2025,3,60,471,531,640,558,,,
31/3/2025,3,60,471,531,640,558,,,
