Meter NameAcct #LabelZoneParent MeterTypeJan-24Feb-24Mar-24Apr-24May-24Jun-24Jul-24Aug-24Sep-24Oct-24Nov-24Dec-24
Z3-59(2A) (Building)4300265L4Zone_03_(B)D-59 Building Bulk MeterResidential (Apart)00117148471211118
Z3-59(2B) (Building)4300266L4Zone_03_(B)D-59 Building Bulk MeterResidential (Apart)111391281311199121017
Z3-59(3B) (Building)4300267L4Zone_03_(B)D-59 Building Bulk MeterResidential (Apart)000000012212
Z3-59(4A) (Building)4300268L4Zone_03_(B)D-59 Building Bulk MeterResidential (Apart)1232617610009151013
Z3 059(5)4300269L4Zone_03_(B)D-59 Building Bulk MeterResidential (Apart)081481061801653
Z3-59(6) (Building)4300270L4Zone_03_(B)D-59 Building Bulk MeterResidential (Apart)1000001000000
Z3-60(1A) (Building)4300271L4Zone_03_(B)D-60 Building Bulk MeterResidential (Apart)222114110321
Z3-60(2A) (Building)4300272L4Zone_03_(B)D-60 Building Bulk MeterResidential (Apart)545401000544
Z3-60(3A) (Building)4300273L4Zone_03_(B)D-60 Building Bulk MeterResidential (Apart)1112129077676119
Z3-60(4A) (Building)4300274L4Zone_03_(B)D-60 Building Bulk MeterResidential (Apart)55464157126566
Z3-60(5) (Building)4300275L4Zone_03_(B)D-60 Building Bulk MeterResidential (Apart)51100000232560
Z3 060(6)4300276L4Zone_03_(B)D-60 Building Bulk MeterResidential (Apart)2712424895166723327372814
Z3 061(1A)4300277L4Zone_03_(B)D-61 Building Bulk MeterResidential (Apart)040171562006810
Z3-61(1B) (Building)4300278L4Zone_03_(B)D-61 Building Bulk MeterResidential (Apart)4312343535146
Z3-61(2A) (Building)4300279L4Zone_03_(B)D-61 Building Bulk MeterResidential (Apart)2118171718918110000
Z3-61(2B) (Building)4300280L4Zone_03_(B)D-61 Building Bulk MeterResidential (Apart)121110002001
Z3-61(3A) (Building)4300281L4Zone_03_(B)D-61 Building Bulk MeterResidential (Apart)040102121400
Z3-61(3B) (Building)4300282L4Zone_03_(B)D-61 Building Bulk MeterResidential (Apart)110101001011
Z3-61(4A) (Building)4300283L4Zone_03_(B)D-61 Building Bulk MeterResidential (Apart)001010000167
Z3 061(4B)4300284L4Zone_03_(B)D-61 Building Bulk MeterResidential (Apart)001752479958
Z3 061(5)4300285L4Zone_03_(B)D-61 Building Bulk MeterResidential (Apart)0911824000080
Z3 061(6)4300286L4Zone_03_(B)D-61 Building Bulk MeterResidential (Apart)2085236171063149
Z8-54300287L3Zone_08BULK ZONE 8Residential (Villa)131117131142208247272344236280309314
Z8-94300288L3Zone_08BULK ZONE 8Residential (Villa)88042547514141225
Z8-184300289L3Zone_08BULK ZONE 8Residential (Villa)290212253418384478459410312196239149
Z8-194300290L3Zone_08BULK ZONE 8Residential (Villa)161147205271282340157306239197248125
Z8-204300291L3Zone_08BULK ZONE 8Residential (Villa)226210289358298313290297275219298158
Z8-214300292L3Zone_08BULK ZONE 8Residential (Villa)188173172320254344233243200119167101
Z8-224300293L3Zone_08BULK ZONE 8Residential (Villa)262168174366388418271343330138213177
Irrigation Tank 044300294DCDirect ConnectionMain Bulk (NAMA)IRR_Servies764509440970116514757825590000
Sales Center4300295L2Zone_SCMain Bulk (NAMA)Zone Bulk454637356132362825415462
FM Building4300296L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )MB_Common344322182722323734453038
Security Building4300297DCDirect ConnectionMain Bulk (NAMA)MB_Common333130329444561017
Taxi Building (B building)4300298L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Retail1191010131081312171113
ROP Building4300299DCDirect ConnectionMain Bulk (NAMA)MB_Common3831313310232542452522
Staff Accomodation4300300L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Retail258183178184198181164202184167214245
Staff Accomodation4300301L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Retail239194214205167187177191206163194226
Staff Accomodation4300302L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Retail166147153190170124119123131112172161
Staff Accomodation4300303L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Retail81721293059313011992134138
Staff Accomodation4300304L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Retail28001749175883000
Staff Accomodation4300305L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Retail799111657131234226196195224
Staff Accomodation4300306L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Retail30424325127524422614016136116148151
Staff Accomodation4300307L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Retail557260253290320275261196176178261276
Staff Accomodation-IRR4300308L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )IRR_Servies0000051987700000
PUMP WM-2 FIRE4300309L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )MB_Common000000000025107
MEP4300310L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )MB_Common111244683232
D-53 Building Bulk Meter4300311L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)D_Building_Bulk344331321938202123322627
D-54 Building Bulk Meter4300312L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)D_Building_Bulk586365686561892243639566
D-55 Building Bulk Meter4300313L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)D_Building_Bulk9093150106113107677766978065
D-56 Building Bulk Meter4300314L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)D_Building_Bulk323106140236216275348462683226214
D-57 Building Bulk Meter4300315L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)D_Building_Bulk46482842676910511344525256
D-58 Building Bulk Meter4300316L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)D_Building_Bulk1329536534663476575896355
D-59 Building Bulk Meter4300317L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)D_Building_Bulk7152787210643455649624551
D-60 Building Bulk Meter4300318L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)D_Building_Bulk929696951222071117891986753
D-61 Building Bulk Meter4300319L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)D_Building_Bulk576039795246403420274644
Irrigation Tank 024300320L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)IRR_Servies423674393136454530302957
Irrigation Tank 034300321L3Zone_05ZONE 5 (Bulk Zone 5)IRR_Servies12231016552808034776300010
Outlet4300322N/AN/AN/AIRR_Servies215431580324147234352500224544255263128428396325092374323518
Irrigation Tank 01 (Inlet)4300323DCDirect ConnectionMain Bulk (NAMA)IRR_Servies000000000000
Staff Accomodation4300324L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Retail856272925258300285388349347
Nursery Building4300325L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Retail765564566855
VS-Irrigation Tank4300326L3Zone_VSVillage Square (Zone Bulk)IRR_Servies0002015711671100010
9594300327L3Zone_VSVillage Square (Zone Bulk)Retail000000000000
9594300328L3Zone_SCSale Centre (Zone Bulk)Retail000000060000
9594300329L3Zone_VSVillage Square (Zone Bulk)Retail000000000313
9594300330L3Zone_VSVillage Square (Zone Bulk)Retail000010010010
9594300331L3Zone_VSVillage Square (Zone Bulk)Retail000000000110
9594300332L3Zone_VSVillage Square (Zone Bulk)Retail0116493234324734455231
9594300333L3Zone_VSVillage Square (Zone Bulk)Retail000000000010
Hotel4300334DCDirect ConnectionMain Bulk (NAMA)Retail140121288011222132171398015385128101374713031176881515614668
MC Building Bulk Meter4300335L2Zone_VSMain Bulk (NAMA)Zone Bulk26197260125277143137145633417
STP Small meter4300336DCDirect ConnectionMain Bulk (NAMA)MB_Common284734272451182322171425
COMO office4300337L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Building9998705322959010411542
Phase 24300338DCDirect ConnectionMain Bulk (NAMA)MB_Common343335404049241112121210
Coffe Shop4300339L3Zone_01_(FM)ZONE FM ( BULK ZONE FM )Retail19101000000000
Irrigation Road 01-UP4300340DCDirect ConnectionMain Bulk (NAMA)IRR_Servies6472973183514141038163612131410120412453
Irrigation Road 01-Down4300341DCDirect ConnectionMain Bulk (NAMA)IRR_Servies112490777362860189110067428601559171185
Bulk Meter4300342L2Zone_08Main Bulk (NAMA)Zone Bulk217018252021275327223193363939573947429635693018
Bulk Meter4300343L2Zone_03_(A)Main Bulk (NAMA)Zone Bulk123410991297189222542227331331722698371535013796
Bulk Meter4300344L2Zone_03_(B)Main Bulk (NAMA)Zone Bulk265321692315238126342932336934583742290626953583
Bulk Meter4300345L2Zone_05Main Bulk (NAMA)Zone Bulk428638974127491126394992530540392736338314383788
Bulk Meter4300346L2Zone_01_(FM)Main Bulk (NAMA)Zone Bulk159512831255138314112078260116381550209818081946
Bulk Meter4300347N/AN/AN/AIRR_Servies0000000666841946744603
Safa-014300348DCDirect ConnectionMain Bulk (NAMA)Retail000000004741179494494
Safa-024300349DCDirect ConnectionMain Bulk (NAMA)Retail000000001931073808808
Main Bulk (NAMA)C43659L1Main BulkNAMAMain BULK328032799623860318693073741953351663542041341315193529036733
